Symbol,Date,Close
JPM,1/2/2019,99.31
JPM,1/3/2019,97.11
JPM,1/4/2019,100.69
JPM,1/7/2019,100.76
JPM,1/8/2019,100.57
JPM,1/9/2019,100.4
JPM,1/10/2019,100.39
JPM,1/11/2019,99.91
JPM,1/14/2019,100.94
JPM,1/15/2019,101.68
JPM,1/16/2019,102.5
JPM,1/17/2019,102.92
JPM,1/18/2019,104.59
JPM,1/22/2019,102.94
JPM,1/23/2019,102.68
JPM,1/24/2019,102.74
JPM,1/25/2019,103.39
JPM,1/28/2019,103.88
JPM,1/29/2019,104.17
JPM,1/30/2019,104.41
JPM,1/31/2019,103.5
JPM,2/1/2019,103.88
JPM,2/4/2019,104.25
JPM,2/5/2019,103.79
JPM,2/6/2019,103.74
JPM,2/7/2019,102.38
JPM,2/8/2019,101.36
JPM,2/11/2019,100.88
JPM,2/12/2019,102.6
JPM,2/13/2019,103.09
JPM,2/14/2019,102.42
JPM,2/15/2019,105.55
JPM,2/19/2019,105.18
JPM,2/20/2019,105.69
JPM,2/21/2019,105.47
JPM,2/22/2019,105
JPM,2/25/2019,106.1
JPM,2/26/2019,105.29
JPM,2/27/2019,105.16
JPM,2/28/2019,104.36
JPM,3/1/2019,104.43
JPM,3/4/2019,104.19
JPM,3/5/2019,104.11
JPM,3/6/2019,103.72
JPM,3/7/2019,102.97
JPM,3/8/2019,103.01
JPM,3/11/2019,104.35
JPM,3/12/2019,104.04
JPM,3/13/2019,104.39
JPM,3/14/2019,105.34
JPM,3/15/2019,106.55
JPM,3/18/2019,107.19
JPM,3/19/2019,106.8
JPM,3/20/2019,104.52
JPM,3/21/2019,102.87
JPM,3/22/2019,99.76
JPM,3/25/2019,98.93
JPM,3/26/2019,99.92
JPM,3/27/2019,99.58
JPM,3/28/2019,100.71
JPM,3/29/2019,101.23
JPM,4/1/2019,104.64
JPM,4/2/2019,105.14
JPM,4/3/2019,105.35
JPM,4/4/2019,105.56
JPM,4/5/2019,105.31
JPM,4/8/2019,105.65
JPM,4/9/2019,104.87
JPM,4/10/2019,105.34
JPM,4/11/2019,106.23
JPM,4/12/2019,111.21
JPM,4/15/2019,109.94
JPM,4/16/2019,111.1
JPM,4/17/2019,114.3
JPM,4/18/2019,113.46
JPM,4/22/2019,113.6
JPM,4/23/2019,113.74
JPM,4/24/2019,113.55
JPM,4/25/2019,113.61
JPM,4/26/2019,114.47
JPM,4/29/2019,116.12
JPM,4/30/2019,116.05
JPM,5/1/2019,115.16
JPM,5/2/2019,115.41
JPM,5/3/2019,116.12
JPM,5/6/2019,115.09
