Symbol,Date,Close
JNJ,1/2/2019,127.75
JNJ,1/3/2019,125.72
JNJ,1/4/2019,127.83
JNJ,1/7/2019,127.01
JNJ,1/8/2019,129.96
JNJ,1/9/2019,128.93
JNJ,1/10/2019,129.71
JNJ,1/11/2019,129.75
JNJ,1/14/2019,128.28
JNJ,1/15/2019,129.36
JNJ,1/16/2019,128.04
JNJ,1/17/2019,129.09
JNJ,1/18/2019,130.69
JNJ,1/22/2019,128.8
JNJ,1/23/2019,128.8
JNJ,1/24/2019,127.03
JNJ,1/25/2019,128.23
JNJ,1/28/2019,128.99
JNJ,1/29/2019,130.33
JNJ,1/30/2019,131.64
JNJ,1/31/2019,133.08
JNJ,2/1/2019,134.2
JNJ,2/4/2019,132.88
JNJ,2/5/2019,132.88
JNJ,2/6/2019,133
JNJ,2/7/2019,132.05
JNJ,2/8/2019,132.4
JNJ,2/11/2019,132
JNJ,2/12/2019,134.16
JNJ,2/13/2019,134.45
JNJ,2/14/2019,134.31
JNJ,2/15/2019,136.38
JNJ,2/19/2019,135.69
JNJ,2/20/2019,136.35
JNJ,2/21/2019,135.42
JNJ,2/22/2019,136.6
JNJ,2/25/2019,136.2
JNJ,2/26/2019,136.11
JNJ,2/27/2019,135.87
JNJ,2/28/2019,136.64
JNJ,3/1/2019,138.35
JNJ,3/4/2019,138.48
JNJ,3/5/2019,138.77
JNJ,3/6/2019,139.09
JNJ,3/7/2019,138.24
JNJ,3/8/2019,138.06
JNJ,3/11/2019,138.56
JNJ,3/12/2019,139.18
JNJ,3/13/2019,139.41
JNJ,3/14/2019,138.02
JNJ,3/15/2019,137.6
JNJ,3/18/2019,137.17
JNJ,3/19/2019,138.44
JNJ,3/20/2019,137.29
JNJ,3/21/2019,138.1
JNJ,3/22/2019,136.91
JNJ,3/25/2019,136.61
JNJ,3/26/2019,138.57
JNJ,3/27/2019,138.7
JNJ,3/28/2019,138.88
JNJ,3/29/2019,139.79
JNJ,4/1/2019,138.98
JNJ,4/2/2019,137.71
JNJ,4/3/2019,137.17
JNJ,4/4/2019,135.57
JNJ,4/5/2019,136.18
JNJ,4/8/2019,136.14
JNJ,4/9/2019,135.57
JNJ,4/10/2019,135.58
JNJ,4/11/2019,135.21
JNJ,4/12/2019,135.98
JNJ,4/15/2019,136.52
JNJ,4/16/2019,138.02
JNJ,4/17/2019,138.52
JNJ,4/18/2019,137.52
JNJ,4/22/2019,137.83
JNJ,4/23/2019,139.9
JNJ,4/24/2019,139.2
JNJ,4/25/2019,139.65
JNJ,4/26/2019,140.39
JNJ,4/29/2019,139.84
JNJ,4/30/2019,141.2
JNJ,5/1/2019,141.95
JNJ,5/2/2019,141.28
JNJ,5/3/2019,142.01
JNJ,5/6/2019,142.09
JNJ,5/7/2019,139.97
JNJ,5/8/2019,139.79
JNJ,5/9/2019,138.73
JNJ,5/10/2019,139.05
JNJ,5/13/2019,137.2
JNJ,5/14/2019,136.82
JNJ,5/15/2019,136.91
JNJ,5/16/2019,138.21
JNJ,5/17/2019,138.61
JNJ,5/20/2019,138.42
JNJ,5/21/2019,138.12
JNJ,5/22/2019,138.76
JNJ,5/23/2019,139.79
JNJ,5/24/2019,138.85
JNJ,5/28/2019,137.07
JNJ,5/29/2019,131.33
JNJ,5/30/2019,132.11
JNJ,5/31/2019,131.15
JNJ,6/3/2019,131.44
JNJ,6/4/2019,133.73
JNJ,6/5/2019,134.38
JNJ,6/6/2019,136.68
JNJ,6/7/2019,138.55
JNJ,6/10/2019,139.02
JNJ,6/11/2019,139.78
JNJ,6/12/2019,141.68
JNJ,6/13/2019,140.71
JNJ,6/14/2019,140.09
JNJ,6/17/2019,139.44
JNJ,6/18/2019,140.23
JNJ,6/19/2019,140.45
JNJ,6/20/2019,142.21
JNJ,6/21/2019,142.09
JNJ,6/24/2019,143.06
JNJ,6/25/2019,144.24
JNJ,6/26/2019,141.85
JNJ,6/27/2019,140.69
JNJ,6/28/2019,139.28
JNJ,7/1/2019,139.36
JNJ,7/2/2019,140.03
JNJ,7/3/2019,142.14
JNJ,7/5/2019,140.57
JNJ,7/8/2019,140.97
JNJ,7/9/2019,141.41
JNJ,7/10/2019,141.21
JNJ,7/11/2019,140.11
JNJ,7/12/2019,134.3
JNJ,7/15/2019,134.71
JNJ,7/16/2019,132.5
JNJ,7/17/2019,131.86
JNJ,7/18/2019,132.07
JNJ,7/19/2019,130.31
JNJ,7/22/2019,128.64
JNJ,7/23/2019,128.84
JNJ,7/24/2019,129.78
JNJ,7/25/2019,131.12
JNJ,7/26/2019,130.73
JNJ,7/29/2019,133.02
JNJ,7/30/2019,132.08
JNJ,7/31/2019,130.22
JNJ,8/1/2019,130.29
JNJ,8/2/2019,131.07
JNJ,8/5/2019,130.16
JNJ,8/6/2019,130.77
JNJ,8/7/2019,130.21
JNJ,8/8/2019,131.68
JNJ,8/9/2019,132.04
JNJ,8/12/2019,131.93
JNJ,8/13/2019,133.42
JNJ,8/14/2019,130.26
JNJ,8/15/2019,130.54
JNJ,8/16/2019,131.36
JNJ,8/19/2019,132.25
JNJ,8/20/2019,130.6
JNJ,8/21/2019,131.53
JNJ,8/22/2019,131.27
JNJ,8/23/2019,127.73
JNJ,8/26/2019,127.8
JNJ,8/27/2019,129.64
JNJ,8/28/2019,128.68
JNJ,8/29/2019,128.24
JNJ,8/30/2019,128.36
JNJ,9/3/2019,128.74
JNJ,9/4/2019,128.86
JNJ,9/5/2019,128.58
JNJ,9/6/2019,128.21
JNJ,9/9/2019,126.95
JNJ,9/10/2019,129.55
JNJ,9/11/2019,131.17
